"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2016","WEEK #01","2016-01-10","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2016","WEEK #02","2016-01-17","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","29",""
"SURVEY","2016","WEEK #03","2016-01-24","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2016","WEEK #04","2016-01-31","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","33",""
"SURVEY","2016","WEEK #05","2016-02-07","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","28",""
"SURVEY","2016","WEEK #06","2016-02-14","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2016","WEEK #07","2016-02-21","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","33",""
"SURVEY","2016","WEEK #08","2016-02-28","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2016","WEEK #09","2016-03-06","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","25",""
"SURVEY","2016","WEEK #10","2016-03-13","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","27",""
"SURVEY","2016","WEEK #11","2016-03-20","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","35",""
"SURVEY","2016","WEEK #12","2016-03-27","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","31",""
"SURVEY","2016","WEEK #13","2016-04-03","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","25",""
"SURVEY","2016","WEEK #14","2016-04-10","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","35",""
"SURVEY","2016","WEEK #15","2016-04-17","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","31",""
"SURVEY","2016","WEEK #16","2016-04-24","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","34",""
"SURVEY","2016","WEEK #53","2016-01-03","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","25",""
"SURVEY","2015","WEEK #01","2015-01-04","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","26",""
"SURVEY","2015","WEEK #02","2015-01-11","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","28",""
"SURVEY","2015","WEEK #03","2015-01-18","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","31",""
"SURVEY","2015","WEEK #04","2015-01-25","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2015","WEEK #05","2015-02-01","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","31",""
"SURVEY","2015","WEEK #06","2015-02-08","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","29",""
"SURVEY","2015","WEEK #07","2015-02-15","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","26",""
"SURVEY","2015","WEEK #08","2015-02-22","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2015","WEEK #09","2015-03-01","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","27",""
"SURVEY","2015","WEEK #10","2015-03-08","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","25",""
"SURVEY","2015","WEEK #11","2015-03-15","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","25",""
"SURVEY","2015","WEEK #12","2015-03-22","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2015","WEEK #13","2015-03-29","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","28",""
"SURVEY","2015","WEEK #14","2015-04-05","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","21",""
"SURVEY","2015","WEEK #15","2015-04-12","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","28",""
"SURVEY","2015","WEEK #16","2015-04-19","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","32",""
"SURVEY","2015","WEEK #17","2015-04-26","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","33",""
"SURVEY","2015","WEEK #18","2015-05-03","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","26",""
"SURVEY","2015","WEEK #19","2015-05-10","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","29",""
"SURVEY","2015","WEEK #20","2015-05-17","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","28",""
"SURVEY","2015","WEEK #21","2015-05-24","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","34",""
"SURVEY","2015","WEEK #22","2015-05-31","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","32",""
"SURVEY","2015","WEEK #23","2015-06-07","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","28",""
"SURVEY","2015","WEEK #24","2015-06-14","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","28",""
"SURVEY","2015","WEEK #25","2015-06-21","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","23",""
"SURVEY","2015","WEEK #26","2015-06-28","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","20",""
"SURVEY","2015","WEEK #27","2015-07-05","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","16",""
"SURVEY","2015","WEEK #28","2015-07-12","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","14",""
"SURVEY","2015","WEEK #29","2015-07-19","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","14",""
"SURVEY","2015","WEEK #30","2015-07-26","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2015","WEEK #31","2015-08-02","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","16",""
"SURVEY","2015","WEEK #32","2015-08-09","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","17",""
"SURVEY","2015","WEEK #33","2015-08-16","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","16",""
"SURVEY","2015","WEEK #34","2015-08-23","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2015","WEEK #35","2015-08-30","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","11",""
"SURVEY","2015","WEEK #36","2015-09-06","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","11",""
"SURVEY","2015","WEEK #37","2015-09-13","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","12",""
"SURVEY","2015","WEEK #38","2015-09-20","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","12",""
"SURVEY","2015","WEEK #39","2015-09-27","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","12",""
"SURVEY","2015","WEEK #40","2015-10-04","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","12",""
"SURVEY","2015","WEEK #41","2015-10-11","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2015","WEEK #42","2015-10-18","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2015","WEEK #43","2015-10-25","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","19",""
"SURVEY","2015","WEEK #44","2015-11-01","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","26",""
"SURVEY","2015","WEEK #45","2015-11-08","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","29",""
"SURVEY","2015","WEEK #46","2015-11-15","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","29",""
"SURVEY","2015","WEEK #47","2015-11-22","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","27",""
"SURVEY","2015","WEEK #48","2015-11-29","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","27",""
"SURVEY","2015","WEEK #49","2015-12-06","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2015","WEEK #50","2015-12-13","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","31",""
"SURVEY","2015","WEEK #51","2015-12-20","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2015","WEEK #52","2015-12-27","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","28",""
"SURVEY","2014","WEEK #20","2014-05-18","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","33",""
"SURVEY","2014","WEEK #21","2014-05-25","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","32",""
"SURVEY","2014","WEEK #22","2014-06-01","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","28",""
"SURVEY","2014","WEEK #23","2014-06-08","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","25",""
"SURVEY","2014","WEEK #24","2014-06-15","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","28",""
"SURVEY","2014","WEEK #25","2014-06-22","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","23",""
"SURVEY","2014","WEEK #26","2014-06-29","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","19",""
"SURVEY","2014","WEEK #27","2014-07-06","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2014","WEEK #28","2014-07-13","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2014","WEEK #29","2014-07-20","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2014","WEEK #30","2014-07-27","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2014","WEEK #31","2014-08-03","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","18",""
"SURVEY","2014","WEEK #32","2014-08-10","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","18",""
"SURVEY","2014","WEEK #33","2014-08-17","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","17",""
"SURVEY","2014","WEEK #34","2014-08-24","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","14",""
"SURVEY","2014","WEEK #35","2014-08-31","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","10",""
"SURVEY","2014","WEEK #36","2014-09-07","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","10",""
"SURVEY","2014","WEEK #37","2014-09-14","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","11",""
"SURVEY","2014","WEEK #38","2014-09-21","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","12",""
"SURVEY","2014","WEEK #39","2014-09-28","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","12",""
"SURVEY","2014","WEEK #40","2014-10-05","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2014","WEEK #41","2014-10-12","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","18",""
"SURVEY","2014","WEEK #42","2014-10-19","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","19",""
"SURVEY","2014","WEEK #43","2014-10-26","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","23",""
"SURVEY","2014","WEEK #44","2014-11-02","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","29",""
"SURVEY","2014","WEEK #45","2014-11-09","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","32",""
"SURVEY","2014","WEEK #46","2014-11-16","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","31",""
"SURVEY","2014","WEEK #47","2014-11-23","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2014","WEEK #48","2014-11-30","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2014","WEEK #49","2014-12-07","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","32",""
"SURVEY","2014","WEEK #50","2014-12-14","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2014","WEEK #51","2014-12-21","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2014","WEEK #52","2014-12-28","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","29",""
